"BRCA.sen.gene" "BRCA.sen.average" "BRCA.no.sen.average"
"ANG" 1.633935 0.7291369
"ANGPTL4" 3.287 1.363872
"AREG" 6.196108 5.552337
"AXL" 0.02446049 0.03305695
"BMP6" 0.3519869 0.2889156
"C3" 4.322028 0.1363496
"CCL26" 1.288669 0.2429305
"CCL5" 0.06309963 0.04607023
"CD55" 4.509007 3.921063
"CD9" 5.370831 6.744796
"CSF1" 1.260364 0.1960821
"CTSB" 4.868937 4.558778
"CXCL12" 1.462404 4.600158
"CXCL16" 3.486612 2.88801
"DKK1" 6.050021 6.466418
"EDN1" 2.158759 1.551508
"EGF" 0.5092545 0.2190206
"EGFR" 1.583384 1.235165
"EREG" 0.3695031 0.2299785
"ETS2" 4.207032 2.36754
"FAS" 1.536849 1.023388
"GDF15" 6.507353 3.862153
"GEM" 0.4739225 0.4560649
"GMFG" 0.1090695 0.07461124
"HMGB1" 3.821826 4.223604
"ICAM1" 3.607362 0.9037696
"IGFBP2" 4.496967 4.132839
"IGFBP3" 3.657419 2.0114
"IGFBP4" 5.949303 7.790752
"IGFBP5" 2.449754 5.367937
"IGFBP6" 0.8294141 1.514998
"IL15" 0.04602155 0.02395574
"IL18" 1.411269 0.4442801
"IL1A" 0.02621634 0.1237429
"IL1B" 0.02674078 0.02714217
"IL6ST" 2.948694 2.437825
"IL7" 0.07225448 0.06614268
"INHA" 2.164955 1.200897
"ITGA2" 3.823793 2.808807
"ITPKA" 1.623743 1.606503
"JUN" 4.061699 3.276966
"KITLG" 4.144362 3.750201
"LCP1" 2.338374 1.782997
"MIF" 0.7440392 0.6667997
"MMP1" 0.8082699 0.06471584
"MMP14" 0.3017092 0.361439
"MMP9" 0.728538 0.8862556
"NAP1L4" 4.613928 4.790388
"PAPPA" 0.03118674 0.02453238
"PGF" 0.1264931 0.2592028
"PIGF" 1.852731 1.829622
"PLAT" 0.1120781 0.004207816
"PLAU" 0.6917155 0.2188561
"PLAUR" 1.209772 0.8193248
"PTBP1" 6.411088 6.460266
"PTGER2" 1.812422 1.138417
"PTGES" 5.616917 1.370382
"RPS6KA5" 0.453628 0.623867
"SCAMP4" 3.128922 3.408061
"SEMA3F" 3.991994 4.627124
"SERPINE1" 0.04694525 0.2632277
"SERPINE2" 1.32766 0.3873274
"TIMP2" 3.626739 3.423886
"TNFRSF10C" 2.826806 1.674419
"TNFRSF11B" 2.665809 2.030284
"TNFRSF1A" 6.257189 5.206165
"TUBGCP2" 3.619016 3.759438
"VEGFA" 2.466752 1.855281
"VEGFC" 1.223284 1.036696
"VGF" 3.788017 3.103537
"WNT16" 0.04263861 0.05101531
