"CRC.aging.gene" "CRC.aging.average" "CRC.no.aging.average"
"ANG" 1.525989 1.762392
"ANGPTL4" 0.1722437 0.05609277
"AREG" 3.803822 1.655296
"AdataL" 4.359717 3.832673
"BMP6" 0.4387834 0.2042809
"C3" 0.7239708 0.06887844
"CCL20" 2.75195 2.550213
"CCL26" 1.2432 0.1927539
"CD55" 1.462746 0.3610346
"CD9" 8.47853 8.517132
"CSF1" 0.3163165 0.1285929
"CSF2" 0.4596274 0.05015286
"CTSB" 7.202994 6.437942
"CdataCL1" 2.181346 1.995801
"CdataCL16" 2.475049 1.276756
"CdataCL2" 0.5578473 0.4733429
"CdataCL3" 2.370216 2.141877
"CdataCL8" 3.995862 3.210712
"DKK1" 3.505363 2.105524
"EDN1" 0.786515 1.89567
"EGFR" 0.4442448 0.0335546
"EREG" 1.986943 0.5985007
"ETS2" 5.117946 5.467061
"FAS" 0.8846947 0.505045
"FGF1" 0.1656492 0.1136677
"FGF7" 0.01382584 0.01847663
"GDF15" 7.433819 6.786217
"GEM" 0.3222421 0.02735736
"GMFG" 3.931369 3.769336
"HMGB1" 8.69461 9.462114
"ICAM1" 2.052468 1.156614
"IGFBP1" 2.846775 1.196588
"IGFBP2" 4.944452 5.402516
"IGFBP3" 2.49919 1.057567
"IGFBP4" 7.261223 7.410258
"IGFBP5" 0.07010185 0.1173942
"IGFBP6" 6.790036 6.115179
"IGFBP7" 0.1066997 0.09703373
"IL10" 1.30141 1.109096
"IL15" 0.08425097 0.02790151
"IL18" 1.862054 1.555718
"IL1B" 0.06194288 0.01947779
"IL6ST" 2.433603 2.176475
"INHA" 1.223618 0.8567837
"IQGAP2" 0.7712733 0.1280684
"ITGA2" 2.921095 2.024906
"ITPKA" 3.961382 2.681027
"JUN" 5.615334 5.799405
"LCP1" 6.965025 6.901019
"MIF" 9.196636 9.756015
"MMP1" 0.0980821 0.0322134
"MMP14" 3.288823 2.300517
"NAP1L4" 6.184831 6.443458
"PECAM1" 0.1279435 0.1359118
"PGF" 1.257418 0.6191497
"PIGF" 3.205868 3.515789
"PLAT" 1.643292 0.8038596
"PLAU" 3.623119 2.240058
"PLAUR" 3.660525 2.320443
"PTBP1" 8.240554 8.555899
"PTGES" 0.8995773 0.5007245
"RPS6KA5" 2.280486 2.076116
"SCAMP4" 5.269145 5.102469
"SEMA3F" 5.271834 5.035261
"SERPINE1" 4.550359 2.856537
"SERPINE2" 5.071742 3.791328
"SPP1" 0.2233027 0.1801424
"SPdata" 1.273417 0.5049134
"TIMP2" 6.372992 5.829992
"TNFRSF10C" 0.2479643 0.1471127
"TNFRSF11B" 1.050233 1.236701
"TNFRSF1A" 5.418115 5.248839
"TNFRSF1B" 4.801694 4.825674
"TUBGCP2" 4.130594 4.298734
"VEGFA" 4.497571 4.395311
"VGF" 1.895459 1.285141
"WNT16" 0.01087502 0.02260939
