"LIHC.sen.gene" "LIHC.sen.average" "LIHC.no.sen.average"
"CCL5" 3.015722 3.049556
"FGF1" 2.996278 3.043944
"ANGPT1" 4.192444 4.585722
"RPS6KA5" 3.138167 2.909944
"FGF7" 2.353778 2.411778
"CD55" 7.925167 6.837889
"IGFBP5" 3.403278 3.447194
"NAP1L4" 5.136767 5.3787
"AREG" 5.012 4.037722
"PECAM1" 4.6911 4.8054
"PAPPA" 3.213591 3.247652
"EDN1" 7.075167 5.666333
"EGFR" 7.164 7.007056
"MMP2" 3.041611 3.051444
"SPP1" 3.581167 3.040167
"SERPINE1" 4.865722 5.427722
"CXCL2" 4.911167 4.357722
"EREG" 3.078833 3.076
"MMP14" 4.923083 4.895792
"HMGB1" 9.5275 10.34823
"CTSB" 7.783433 7.4369
"CD9" 5.148611 4.503889
"IGFBP7" 3.415333 3.454611
"ETS2" 5.808444 5.761167
"JUN" 6.560417 6.194208
"IGFBP4" 4.125667 3.956833
"PLAT" 2.837667 2.729
"TUBGCP2" 6.118944 6.406222
"ICAM1" 7.463444 7.012
"AXL" 3.399583 3.3895
"IGFBP2" 4.143667 3.6775
"CXCL8" 9.445 7.876583
"TIMP2" 6.320333 4.384833
"IQGAP2" 5.969833 6.0465
"TNFRSF1B" 3.19 3.092167
"CXCL12" 3.122833 3.301917
"IGFBP6" 5.862833 5.143333
"MMP9" 3.902667 3.869167
"CCL4" 3.4005 3.218167
"GMFG" 3.373833 3.421
"FGF2" 2.949083 3.382167
"CXCL1" 9.196167 8.581
"GEM" 5.716833 5.453
"MMP1" 2.7625 2.5355
"CXCL10" 5.763167 4.535667
"MMP12" 2.6435 2.611833
"DKK1" 7.904833 9.956833
"FAS" 2.779542 2.829917
"IL6ST" 5.757262 5.876238
"TNFRSF11B" 6.63075 7.354667
"ITGA2" 6.61125 5.801833
"IL1B" 3.7965 3.675833
"PIGF" 7.33475 7.076583
"ANG" 8.134667 7.317333
"CSF2RB" 2.549167 2.795167
"IL6" 3.261 3.065833
"BMP2" 10.33833 10.11883
"IGFBP1" 3.76525 3.249083
"CCL20" 12.35367 11.61117
"PLAU" 4.898417 5.001917
"VGF" 4.716167 4.834167
"WNT2" 3.0565 3.101667
"MMP10" 2.842667 2.666
"MMP3" 2.580833 2.743833
"ITPKA" 6.526833 7.2255
"IL15" 2.947083 2.89825
"BMP6" 3.442167 3.450889
"TNFRSF10C" 3.627292 3.66725
"NRG1" 3.511611 3.583222
"EGF" 5.901833 3.715167
"IL18" 6.944333 6.464167
"PTGER2" 3.032667 2.571333
"IL7" 3.820167 4.253167
"SEMA3F" 5.132778 5.121
"CST4" 3.709333 3.791167
"KITLG" 6.661056 6.930944
"CSF1" 5.463125 4.760375
"TNF" 3.475 3.495167
"PTGES" 4.503 4.39625
"IL10" 2.515167 2.426833
"TNFRSF1A" 7.948167 7.3685
"IL2" 2.324667 2.522333
"CXCL3" 7.075333 5.326833
"IL1A" 3.02375 2.945917
"ESM1" 2.473167 2.505333
"LCP1" 6.343 5.714167
"PGF" 7.1445 6.7295
"VEGFC" 2.694333 2.755667
"HGF" 3.007767 3.057033
"IGFBP3" 8.917167 8.117167
"INHA" 3.196333 3.343667
"CSF2" 3.97325 4.070583
"VEGFA" 7.375667 7.16825
"PLAUR" 4.343889 4.220056
"PTBP1" 5.782292 5.990667
"SERPINB4" 2.412333 2.4525
"SERPINE2" 6.058083 5.927917
"SCAMP4" 5.098333 5.812167
"CCL8" 2.5575 2.576667
"CCL2" 2.707667 2.733833
"C3" 12.05383 11.68117
"MIF" 11.06767 11.30117
"ANGPTL4" 4.382083 4.515667
"SPX" 6.840417 5.1965
"WNT16" 3.0795 3.130417
"GDF15" 5.041278 5.044333
"CXCL16" 7.094333 6.260667
"CCL26" 2.9715 2.915667
