"LUNG.aging.gene" "LUNG.aging.average" "LUNG.no.aging.average"
"CCL5" 4.516653 3.499048
"FGF1" 7.11344 8.224109
"ANGPT1" 7.028329 9.342742
"RPS6KA5" 6.440879 5.690249
"FGF7" 4.990518 7.162573
"CD55" 10.17978 10.28033
"IGFBP5" 11.39231 12.62224
"NAP1L4" 9.885077 9.679599
"AREG" 11.50175 7.278845
"PECAM1" 6.0829 5.246589
"PAPPA" 12.3509 9.881582
"EDN1" 10.12917 8.70109
"EGFR" 9.21291 9.247568
"MMP2" 11.45692 11.09202
"SPP1" 6.356315 4.714892
"SERPINE1" 12.44274 12.18619
"CXCL2" 12.56048 4.469914
"EREG" 13.22759 8.457313
"MMP14" 12.21906 10.85492
"HMGB1" 13.06438 13.67238
"CTSB" 13.48016 13.15685
"CD9" 12.21544 12.0203
"IGFBP7" 13.1311 14.23808
"ETS2" 10.63429 10.48947
"JUN" 11.84318 11.57702
"IGFBP4" 9.818679 10.43796
"PLAT" 13.1952 12.71669
"TUBGCP2" 8.508703 8.971236
"ICAM1" 11.29588 8.446585
"AXL" 10.33655 12.7647
"IGFBP2" 3.869751 4.745125
"CXCL8" 15.54269 9.144794
"TIMP2" 12.71481 13.50005
"IQGAP2" 6.544546 4.894808
"TNFRSF1B" 9.854555 8.10599
"CXCL12" 5.470181 8.407087
"IGFBP6" 10.00026 12.12614
"MMP9" 8.106235 7.179001
"CCL4" 5.574034 2.349387
"GMFG" 7.032608 6.006501
"FGF2" 12.58717 10.43933
"CXCL1" 15.22726 6.589595
"GEM" 11.47288 10.39668
"MMP1" 15.79085 14.20804
"CXCL10" 11.31467 7.829934
"MMP12" 11.11047 5.153116
"DKK1" 9.771289 12.25673
"FAS" 10.67309 10.7071
"IL6ST" 11.54399 11.63145
"TNFRSF11B" 11.41186 12.16819
"ITGA2" 13.87191 12.95435
"IL1B" 15.69128 7.317924
"PIGF" 10.78496 11.25958
"ANG" 6.565153 7.512106
"CSF2RB" 2.922089 3.11633
"IL6" 15.15221 10.73093
"BMP2" 13.18889 10.29341
"IGFBP1" 6.422209 4.356221
"CCL20" 12.91271 2.207406
"PLAU" 15.02163 14.04162
"VGF" 6.694204 5.794648
"WNT2" 3.534783 7.727369
"MMP10" 10.25335 6.665612
"MMP3" 15.65018 10.5796
"ITPKA" 7.234016 4.954662
"IL15" 7.67153 9.211342
"BMP6" 4.025343 4.828784
"TNFRSF10C" 5.504512 5.01651
"NRG1" 10.83957 7.019959
"EGF" 5.348262 5.462573
"IL18" 3.090463 4.926468
"PTGER2" 7.28894 10.86016
"IL7" 4.594162 3.015609
"SEMA3F" 9.250072 9.19806
"CST4" 10.13507 6.684621
"KITLG" 10.79707 10.33513
"CSF1" 6.281226 7.722617
"TNF" 3.942871 5.423998
"PTGES" 6.95573 6.509167
"IL10" 4.465434 2.11633
"TNFRSF1A" 10.76052 11.31166
"IL2" 2.58193 1.938872
"CXCL3" 14.45098 5.45999
"IL1A" 12.35661 5.183628
"ESM1" 9.901724 6.353673
"LCP1" 5.267071 4.607062
"PGF" 8.409468 8.568338
"VEGFC" 12.80502 12.1474
"HGF" 10.54311 11.17033
"IGFBP3" 10.55381 11.8558
"INHA" 6.124658 5.113868
"CSF2" 12.31862 5.965854
"VEGFA" 11.42296 9.220687
"PLAUR" 12.86923 11.31227
"PTBP1" 10.75909 10.57356
"SERPINB4" 10.99261 1.572023
"SERPINE2" 12.5205 12.49333
"SCAMP4" 7.319861 7.357542
"CCL8" 4.482969 3.669925
"CCL2" 10.7125 10.72751
"C3" 9.683254 4.686955
"MIF" 14.66438 14.23449
"ANGPTL4" 9.486766 5.327622
"SPX" 5.996619 3.720953
"WNT16" 8.344061 9.196812
"GDF15" 12.86749 9.705761
"CXCL16" 3.008246 3.648687
"CCL26" 5.124981 5.91517
