"OVCA.sen.gene" "OVCA.sen.average" "OVCA.no.sen.average"
"CXCL8" 2.438247 5.530194
"CXCL1" 7.535038 10.03251
"PLAU" 4.541467 6.684943
"CXCL2" 1.14888 4.678461
"CD55" 5.035944 3.569932
"PLAT" 1.753331 3.042536
"IGFBP2" 2.721673 4.709664
"C3" 5.896031 4.587779
"JUN" 4.655341 5.765207
"PLAUR" 2.267511 3.578608
"SPP1" 1.877889 0
"PTBP1" 4.701353 5.51334
"SERPINE2" 0.730662 1.666505
"CD9" 7.199818 8.218488
"ITGA2" 0.4009275 1.178418
"IGFBP7" 2.84992 4.231154
"AREG" 4.493424 3.396588
"SEMA3F" 2.184036 3.272751
"PTGES" 2.387924 3.667746
"CTSB" 7.876397 8.710727
"HMGB1" 3.981276 4.724384
"CXCL3" 2.034359 2.975675
"NRG1" 1.331385 1.9341
"ETS2" 5.011053 4.456846
"EDN1" 1.433098 2.273826
"IL6" 0.4091184 1.440952
"IGFBP3" 4.279176 3.871161
"MMP10" 0.8839654 0.3258267
"VEGFA" 1.856869 1.464558
"IGFBP6" 1.095935 1.862385
"IL18" 2.969512 3.427362
"IGFBP5" 1.808716 1.440536
"ICAM1" 1.321868 1.712209
"ANGPT1" 0.4157197 0.1510116
"CCL20" 2.980465 3.542978
"FGF2" 0.2443182 0.1078651
"CXCL10" 1.008442 0.2815664
"IGFBP4" 5.158154 5.505053
"DKK1" 0.2270614 0.5445676
"EGF" 0.09455035 0.2461861
"IL15" 0.4837918 0.6756182
"CSF1" 0.6258139 1.013597
"IL6ST" 3.113056 2.862678
"PTGER2" 0.465292 0.8625667
"MMP9" 1.965323 2.339958
"TIMP2" 5.895799 6.052229
"LCP1" 1.435189 1.655585
"SPX" 2.135363 1.901131
"RPS6KA5" 0.335606 0.2106882
"MMP2" 0.8764409 0.9312557
"IQGAP2" 0.1255488 0.09386151
"GMFG" 1.105786 1.755048
"SERPINE1" 0.4392672 0.4278183
"EREG" 0.298693 0.2372753
"TNFRSF1A" 4.176954 4.254538
"KITLG" 0.3236572 0.3370817
"CXCL16" 4.110859 3.920511
"EGFR" 2.656538 2.706014
"ITPKA" 0.5300761 0.4933547
"PGF" 0.3197893 0.4629519
"SCAMP4" 2.046181 2.092599
"PIGF" 1.223216 1.109999
"TUBGCP2" 3.63654 3.715668
"FAS" 2.821648 2.72128
"GDF15" 2.640621 2.773165
