"SKCM.aging.gene" "SKCM.aging.average" "SKCM.no.aging.average"
"AREG" 4.534673 4.853115
"ITGA2" 4.502458 4.88515
"PLAUR" 5.453566 6.676557
"MMP12" 0.9127044 0.1607168
"IGFBP2" 5.208838 5.690992
"MMP1" 2.623085 3.875924
"SEMA3F" 1.314262 2.140709
"PLAU" 0.1447677 0.2115144
"NAP1L4" 5.044333 5.181754
"HMGB1" 6.7535 7.854619
"PTGES" 2.453942 4.933307
"EDN1" 0.1133612 0.140154
"IL1A" 4.195601 6.249707
"IQGAP2" 0.5982176 2.025673
"ANGPT1" 2.43401 2.344408
"PTBP1" 6.65909 7.343832
"BMP6" 2.215571 3.257839
"IL6" 0.1392059 0.5528465
"MMP9" 0.7155627 4.40633
"GMFG" 1.177499 0.8628525
"GEM" 3.722463 4.473123
"SERPINE1" 1.050253 1.830588
"MMP10" 1.472719 2.902651
"HGF" 0.8312834 0.5588978
"CSF2" 1.070051 5.294609
"TNFRSF10C" 1.664389 1.069686
"IL1B" 2.80752 4.379294
"TNFRSF1A" 6.671775 6.822238
"GDF15" 3.13186 2.764869
"VEGFA" 4.315163 5.000979
"EGF" 0.7078222 0.3278449
"SERPINE2" 11.11836 11.82118
"IGFBP4" 5.936078 5.148068
"LCP1" 0.3269915 0.2613215
"ESM1" 1.130398 4.611981
"AXL" 4.841613 5.697242
"CXCL1" 6.905172 8.813927
"IGFBP3" 6.913744 9.314631
"CXCL2" 3.284899 5.662279
"KITLG" 0.7505059 0.3652238
"ANG" 1.195812 2.593964
"FGF7" 1.16542 1.026008
"CXCL3" 3.793877 6.568657
"CD9" 7.856049 7.354802
"TIMP2" 5.724522 5.503427
"FAS" 4.142248 3.971878
"DKK1" 5.091707 4.680936
"FGF1" 2.066186 0.5091236
"PIGF" 4.590378 3.815126
"SCAMP4" 4.313709 4.051171
"TNFRSF11B" 2.354252 2.94625
"PGF" 1.153786 1.110921
"CD55" 7.906183 7.940614
"IGFBP5" 3.987674 4.858929
"JUN" 5.239003 4.082465
"CSF1" 2.889257 2.144437
"PLAT" 6.467422 6.024994
"IL6ST" 5.05848 5.183368
"CCL2" 6.554183 3.993266
"MMP3" 0.8997989 0.08187245
"EREG" 0.07775439 0.126901
"RPS6KA5" 1.412717 2.185619
"SPP1" 3.108323 2.459415
"ITPKA" 0.2801438 1.597886
"PTGER2" 0.104704 0.1106601
"ETS2" 1.785376 2.717263
"PECAM1" 0.2904251 0.8306982
"CCL20" 0.8906483 2.63477
"IL15" 0.6419515 1.222168
"CXCL8" 6.958457 9.117962
"VEGFC" 2.03181 3.417052
"CTSB" 6.438099 6.486434
"EGFR" 1.141349 2.494439
"NRG1" 0.7936378 0.7506097
"WNT16" 0.5161879 0.6296158
"FGF2" 2.121318 2.056509
"IL18" 0.4582779 0.543558
"CXCL10" 1.617637 0.9243875
"IL7" 1.317504 1.659288
"TUBGCP2" 4.928349 5.014145
"CXCL16" 3.340874 3.084058
"CCL5" 1.437157 1.186863
"TNFRSF1B" 0.6806705 1.713507
"MMP14" 6.087502 6.197054
"MMP2" 7.148653 6.440989
"ANGPTL4" 2.321936 3.818006
"VGF" 6.098573 7.663923
"IGFBP6" 4.544428 6.207481
"C3" 6.851433 6.829956
"IL10" 1.207128 1.927612
"CSF2RB" 0.02364627 0.01899988
"PAPPA" 2.149832 1.620843
"BMP2" 2.785605 3.744709
"INHA" 1.919894 3.241613
"IGFBP7" 5.460785 6.090823
"MIF" 8.596628 9.355998
"ICAM1" 6.882476 7.199227
